name,ingredients,cuisine,diet
Biryani,"potato, lime, pepper, basil",Greek,Vegan
Masala Dosa,"onion, lentils, potato, pork, beans",Greek,Vegan
Palak Paneer,"spinach, rice, tofu, beef, beans, mint",Japanese,Vegan
Chole Bhature,"tomato, tofu, chili, garlic, ginger, cheese",Indian,Non-Vegetarian
Rajma Chawal,"pepper, lime, potato, basil",Mexican,Vegetarian
Tandoori Chicken,"yogurt, mint, beans, lime, onion",Italian,Vegetarian
Aloo Paratha,"spinach, tomato, lime, pork, basil, garlic, pepper",Thai,Vegetarian
Butter Chicken,"pepper, basil, beef, chicken, onion, carrot, beans",French,Vegetarian
Dhokla,"beans, soy sauce, coconut, onion",Indian,Vegetarian
Sambar,"yogurt, mint, onion, potato, spinach, lime, soy sauce",Japanese,Vegetarian
Spaghetti Carbonara,"tofu, cheese, lime, pork, potato, yogurt",Thai,Vegan
Margherita Pizza,"spinach, cheese, garlic, carrot, ginger",Thai,Non-Vegetarian
Lasagna,"beef, mint, ginger, lentils, basil, chicken",Greek,Non-Vegetarian
Risotto,"cheese, chicken, lime, potato, soy sauce",Thai,Vegetarian
Fettuccine Alfredo,"pork, beans, noodles, potato, cheese, chili, beef",French,Non-Vegetarian
Bruschetta,"tomato, garlic, noodles, cheese, pork",Japanese,Vegetarian
Tiramisu,"yogurt, ginger, cheese, tomato",Indian,Vegetarian
Gnocchi,"cheese, lentils, spinach, lime, basil, mint, pork",Italian,Vegetarian
Caprese Salad,"onion, chicken, soy sauce, beef, tofu, mint, beans",Greek,Vegan
Panna Cotta,"soy sauce, lime, beans, carrot",Italian,Non-Vegetarian
Sushi,"basil, tofu, noodles, chili, spinach, chicken, beef",French,Vegan
Ramen,"pork, soy sauce, ginger, rice",Thai,Vegan
Tempura,"coconut, tofu, lentils, yogurt, carrot, chicken",Italian,Vegan
Udon,"coconut, cheese, rice, noodles, potato, beef",French,Non-Vegetarian
Miso Soup,"pepper, potato, tomato, onion",Italian,Vegan
Okonomiyaki,"ginger, chili, pork, onion, rice, chicken",Thai,Vegan
Yakitori,"mint, garlic, chili, noodles, tofu, tomato, ginger",Mexican,Non-Vegetarian
Tonkatsu,"spinach, mint, garlic, tomato, chili, rice, yogurt",Greek,Vegetarian
Onigiri,"coconut, spinach, yogurt, pepper",Greek,Vegetarian
Sashimi,"yogurt, spinach, rice, lentils, pork, chili",Thai,Non-Vegetarian
Tacos,"lime, chili, potato, tofu, carrot, rice, mint",French,Vegetarian
Enchiladas,"lentils, yogurt, soy sauce, beef, chicken, onion, potato",French,Vegan
Guacamole,"chicken, spinach, chili, garlic, onion",French,Vegan
Tamales,"chicken, lime, potato, tofu, pork, tomato, ginger",Japanese,Non-Vegetarian
Quesadillas,"beans, pepper, cheese, chili, yogurt",Thai,Vegan
Churros,"tomato, cheese, rice, chicken, tofu, coconut",Indian,Vegetarian
Burrito,"potato, carrot, cheese, noodles, beef",French,Vegetarian
Nachos,"basil, pepper, soy sauce, chili, chicken",Indian,Vegan
Pozole,"garlic, lime, tofu, beef, chili, pork",Indian,Vegan
Salsa,"chicken, tomato, pepper, noodles, spinach, tofu, rice",Japanese,Non-Vegetarian
Kung Pao Chicken,"coconut, garlic, basil, mint, yogurt",Chinese,Non-Vegetarian
Dumplings,"mint, garlic, spinach, cheese, ginger, carrot",Indian,Vegan
Sweet and Sour Pork,"garlic, pork, pepper, lentils",Indian,Vegetarian
Chow Mein,"lentils, onion, ginger, potato, mint, noodles",Italian,Vegan
Spring Rolls,"potato, tofu, beans, soy sauce",French,Non-Vegetarian
Hot Pot,"lentils, beef, chicken, rice, garlic, noodles",Greek,Vegan
Peking Duck,"cheese, yogurt, pork, basil, chicken, chili",Italian,Non-Vegetarian
Mapo Tofu,"carrot, pepper, noodles, spinach, beef, cheese",Thai,Non-Vegetarian
Wonton Soup,"rice, noodles, basil, soy sauce, pepper, beans, chili",Thai,Vegetarian
Fried Rice,"pork, chicken, beef, carrot, beans, tomato",Mexican,Vegetarian
Croissant,"yogurt, coconut, cheese, carrot",Chinese,Non-Vegetarian
Ratatouille,"rice, onion, cheese, beef",Indian,Vegan
Quiche,"cheese, beans, carrot, basil",Chinese,Vegetarian
Bouillabaisse,"garlic, beans, carrot, chili",Indian,Vegetarian
Coq au Vin,"basil, tofu, beef, yogurt",Japanese,Vegetarian
Crème Brûlée,"ginger, spinach, onion, basil, lentils",Thai,Non-Vegetarian
Baguette,"lime, spinach, coconut, soy sauce, lentils, tofu, chili",Chinese,Non-Vegetarian
Nicoise Salad,"spinach, chili, yogurt, beans, chicken",Chinese,Vegetarian
Beef Bourguignon,"basil, beef, mint, potato, lime, yogurt, soy sauce",Thai,Vegan
Soufflé,"chili, mint, ginger, lime, tomato",Japanese,Vegan
Biryani,"lentils, cheese, chicken, basil, rice, onion",Greek,Vegetarian
Masala Dosa,"beans, chili, tomato, carrot",Japanese,Vegetarian
Palak Paneer,"cheese, basil, tofu, carrot, lime, lentils",French,Vegan
Chole Bhature,"pepper, tofu, lime, rice, noodles, tomato, carrot",Mexican,Non-Vegetarian
Rajma Chawal,"tomato, potato, onion, chicken, garlic",Italian,Non-Vegetarian
Tandoori Chicken,"onion, chicken, lentils, rice, carrot, noodles",Mexican,Vegetarian
Aloo Paratha,"potato, pork, ginger, noodles",Japanese,Vegetarian
Butter Chicken,"chicken, beans, soy sauce, pepper, spinach, lentils",French,Non-Vegetarian
Dhokla,"noodles, beef, potato, coconut",Italian,Vegan
Sambar,"mint, garlic, beef, rice",Greek,Vegan
Spaghetti Carbonara,"chili, mint, lentils, chicken, soy sauce, carrot",Indian,Non-Vegetarian
Margherita Pizza,"chili, mint, carrot, beef, lime, noodles, pepper",Thai,Non-Vegetarian
Lasagna,"basil, carrot, cheese, tomato, tofu, lentils",Mexican,Non-Vegetarian
Risotto,"pepper, chili, tomato, tofu",Greek,Vegan
Fettuccine Alfredo,"pepper, pork, noodles, lime, coconut",Greek,Non-Vegetarian
Bruschetta,"basil, rice, coconut, pork, lime, pepper",Greek,Vegetarian
Tiramisu,"coconut, yogurt, potato, lime, lentils, tomato",Thai,Vegan
Gnocchi,"rice, chili, beef, chicken",French,Vegetarian
Caprese Salad,"tomato, cheese, basil, rice, soy sauce, garlic, mint",French,Vegan
Panna Cotta,"beef, onion, ginger, garlic, lentils",Indian,Vegetarian
Sushi,"noodles, rice, ginger, yogurt",Indian,Vegan
Ramen,"coconut, pepper, noodles, mint, pork, carrot",Thai,Vegan
Tempura,"carrot, pepper, potato, coconut, cheese, lentils, rice",Greek,Non-Vegetarian
Udon,"tofu, mint, chicken, pepper, noodles, rice, carrot",Thai,Non-Vegetarian
Miso Soup,"carrot, ginger, rice, potato, lime",Italian,Non-Vegetarian
Okonomiyaki,"ginger, pepper, lime, carrot, pork",Greek,Non-Vegetarian
Yakitori,"ginger, yogurt, cheese, noodles",Thai,Vegan
Tonkatsu,"onion, tofu, lime, carrot",Italian,Non-Vegetarian
Onigiri,"onion, yogurt, chili, carrot, tofu, beef, ginger",Chinese,Non-Vegetarian
Sashimi,"basil, chicken, pepper, yogurt, spinach",Italian,Vegan
Tacos,"spinach, coconut, beans, tofu, lime, pepper, basil",Indian,Vegan
Enchiladas,"ginger, beef, coconut, chicken",Thai,Vegan
Guacamole,"basil, carrot, spinach, chili",Japanese,Vegetarian
Tamales,"soy sauce, beans, beef, tomato, chicken, lentils",French,Vegan
Quesadillas,"noodles, chili, spinach, chicken, lentils, soy sauce",Chinese,Vegetarian
Churros,"coconut, spinach, basil, yogurt, chili",Mexican,Vegetarian
Burrito,"rice, garlic, tomato, soy sauce, carrot",Chinese,Vegetarian
Nachos,"chicken, carrot, lentils, soy sauce",Mexican,Vegetarian
Pozole,"rice, noodles, spinach, garlic, basil, coconut",Thai,Non-Vegetarian
Salsa,"ginger, spinach, chili, coconut, potato, basil",Indian,Non-Vegetarian
Kung Pao Chicken,"garlic, pepper, noodles, chicken",French,Non-Vegetarian
Dumplings,"beef, spinach, noodles, coconut, onion, mint, yogurt",Italian,Vegetarian
Sweet and Sour Pork,"pork, rice, spinach, tofu, cheese, lime, mint",Thai,Non-Vegetarian
Chow Mein,"chicken, garlic, lentils, tomato",Thai,Vegan
Spring Rolls,"tofu, coconut, spinach, rice, chicken",Greek,Vegan
Hot Pot,"garlic, spinach, chicken, noodles, coconut",French,Vegan
Peking Duck,"onion, basil, beef, lime",Mexican,Non-Vegetarian
Mapo Tofu,"chicken, beans, garlic, yogurt, mint",Thai,Non-Vegetarian
Wonton Soup,"tofu, cheese, onion, ginger, carrot, mint",Italian,Non-Vegetarian
Fried Rice,"chili, tofu, chicken, spinach, onion",Mexican,Vegetarian
Croissant,"tofu, chili, coconut, yogurt, beans, rice, garlic",Italian,Vegetarian
Ratatouille,"pepper, coconut, potato, noodles, soy sauce",Chinese,Non-Vegetarian
Quiche,"cheese, pepper, yogurt, soy sauce, onion, carrot",Indian,Vegetarian
Bouillabaisse,"basil, lime, lentils, spinach, soy sauce, chicken, tofu",French,Non-Vegetarian
Coq au Vin,"cheese, noodles, beef, lentils, onion, potato",Mexican,Non-Vegetarian
Crème Brûlée,"cheese, carrot, ginger, yogurt, soy sauce, beans",Mexican,Vegetarian
Baguette,"tomato, cheese, pork, carrot",Indian,Vegan
Nicoise Salad,"potato, tomato, rice, tofu",Mexican,Non-Vegetarian
Beef Bourguignon,"soy sauce, noodles, carrot, spinach, rice, beef",Greek,Vegan
Soufflé,"yogurt, garlic, soy sauce, spinach, onion, tomato, beef",Indian,Vegan
Biryani,"beans, spinach, yogurt, pepper",Thai,Non-Vegetarian
Masala Dosa,"lime, basil, spinach, chili, beans, pepper",Indian,Vegetarian
Palak Paneer,"tomato, tofu, rice, chili, beans, onion, pepper",Mexican,Vegetarian
Chole Bhature,"tofu, yogurt, noodles, chicken, tomato",Mexican,Non-Vegetarian
Rajma Chawal,"lime, tofu, rice, lentils, cheese, beef",Chinese,Non-Vegetarian
Tandoori Chicken,"garlic, potato, lime, lentils, tomato, mint",Mexican,Non-Vegetarian
Aloo Paratha,"spinach, noodles, mint, lime, ginger",Indian,Non-Vegetarian
Butter Chicken,"spinach, garlic, carrot, soy sauce, beans, coconut, tomato",Greek,Vegan
Dhokla,"carrot, beef, yogurt, ginger, tomato",Japanese,Vegetarian
Sambar,"carrot, chicken, beef, cheese, beans, tomato",Greek,Vegan
Spaghetti Carbonara,"tofu, beef, garlic, soy sauce, pepper",Chinese,Vegetarian
Margherita Pizza,"cheese, lime, noodles, beans, rice, basil",Greek,Non-Vegetarian
Lasagna,"potato, cheese, lentils, tomato",French,Non-Vegetarian
Risotto,"soy sauce, tofu, spinach, noodles, pepper, basil",Indian,Vegetarian
Fettuccine Alfredo,"ginger, beef, tofu, coconut",Chinese,Vegetarian
Bruschetta,"coconut, onion, beef, spinach, pork, tofu, chili",Japanese,Vegan
Tiramisu,"mint, spinach, ginger, chicken, potato, noodles",Greek,Vegan
Gnocchi,"rice, lentils, lime, mint",Chinese,Vegan
Caprese Salad,"rice, onion, pork, noodles",Mexican,Non-Vegetarian
Panna Cotta,"lime, pepper, garlic, chicken, beans, ginger",Thai,Vegan
Sushi,"soy sauce, lime, beans, potato, beef, mint, ginger",Chinese,Non-Vegetarian
Ramen,"lime, carrot, ginger, pepper, noodles, soy sauce",Greek,Non-Vegetarian
Tempura,"chili, mint, soy sauce, chicken, basil, onion",Indian,Non-Vegetarian
Udon,"potato, pepper, garlic, tomato, basil",Japanese,Non-Vegetarian
Miso Soup,"potato, tofu, pepper, chicken, mint, lentils, tomato",Indian,Vegan
Okonomiyaki,"soy sauce, basil, chili, yogurt, beans, tomato, lime",Indian,Vegan
Yakitori,"basil, chili, beef, beans, chicken",Indian,Vegetarian
Tonkatsu,"cheese, garlic, noodles, spinach, mint, basil",Thai,Non-Vegetarian
Onigiri,"tomato, chicken, ginger, carrot, basil, cheese",Japanese,Vegetarian
Sashimi,"mint, beef, chicken, yogurt, ginger, rice",Thai,Non-Vegetarian
Tacos,"chicken, yogurt, onion, ginger, soy sauce",Chinese,Vegan
Enchiladas,"rice, onion, lentils, basil",French,Vegetarian
Guacamole,"beans, onion, spinach, garlic, mint, lime",French,Non-Vegetarian
Tamales,"cheese, garlic, noodles, ginger, onion, tomato, beans",French,Vegan
Quesadillas,"lime, chili, mint, coconut, pepper",Chinese,Vegetarian
Churros,"potato, cheese, tofu, basil, rice, carrot",Greek,Vegan
Burrito,"yogurt, carrot, rice, chili, basil",Japanese,Non-Vegetarian
Nachos,"beans, spinach, basil, onion, noodles",Greek,Vegan
Pozole,"beef, yogurt, soy sauce, chili, coconut",Mexican,Non-Vegetarian
Salsa,"coconut, onion, pork, basil",Japanese,Vegan
Kung Pao Chicken,"coconut, cheese, lentils, lime, mint, rice, beef",Thai,Vegan
Dumplings,"spinach, tofu, beans, onion, soy sauce, lime, chicken",Mexican,Vegetarian
Sweet and Sour Pork,"mint, chicken, onion, noodles, lentils",Italian,Non-Vegetarian
Chow Mein,"noodles, carrot, spinach, chili, mint, beans",Thai,Non-Vegetarian
Spring Rolls,"soy sauce, tomato, chili, potato, lime, cheese",Thai,Vegan
Hot Pot,"chili, rice, chicken, carrot, tofu, lentils",Indian,Vegan
Peking Duck,"carrot, chili, onion, lime, pepper",Greek,Non-Vegetarian
Mapo Tofu,"coconut, tomato, ginger, mint, spinach, cheese",Indian,Vegetarian
Wonton Soup,"tomato, carrot, beans, mint",Italian,Non-Vegetarian
Fried Rice,"potato, lime, yogurt, beef, garlic, mint",Thai,Vegetarian
Croissant,"pepper, chicken, cheese, onion, garlic, mint, rice",Italian,Vegan
Ratatouille,"mint, chicken, cheese, garlic, tomato, onion",French,Vegan
Quiche,"soy sauce, onion, tofu, mint",Indian,Non-Vegetarian
Bouillabaisse,"carrot, yogurt, tomato, lentils",Indian,Vegetarian
Coq au Vin,"tomato, beans, rice, garlic",Mexican,Vegetarian
Crème Brûlée,"carrot, garlic, noodles, mint",Greek,Vegan
Baguette,"pepper, soy sauce, beans, yogurt",French,Vegan
Nicoise Salad,"chicken, rice, ginger, beans, pepper, beef",Greek,Vegan
Beef Bourguignon,"carrot, onion, tofu, lime, garlic",Chinese,Vegan
Soufflé,"pork, soy sauce, cheese, coconut, onion",Japanese,Vegan
Biryani,"beans, potato, chicken, rice, noodles",French,Vegetarian
Masala Dosa,"spinach, chicken, garlic, coconut, tomato, carrot",Thai,Non-Vegetarian
Palak Paneer,"soy sauce, yogurt, noodles, carrot, lentils, beef, basil",Greek,Vegan
Chole Bhature,"garlic, noodles, tomato, pepper, coconut, spinach",Thai,Vegan
Rajma Chawal,"noodles, chicken, soy sauce, cheese, rice",Greek,Vegan
Tandoori Chicken,"yogurt, tomato, beef, beans",Japanese,Vegetarian
Aloo Paratha,"rice, yogurt, mint, basil, beans, onion",Japanese,Vegetarian
Butter Chicken,"mint, lentils, beef, ginger",Mexican,Non-Vegetarian
Dhokla,"beans, rice, coconut, mint, tomato, ginger, noodles",Japanese,Vegetarian
Sambar,"tomato, cheese, carrot, garlic, lentils, chili",Mexican,Vegan
Spaghetti Carbonara,"onion, cheese, noodles, rice, tofu",Italian,Vegan
Margherita Pizza,"cheese, pepper, garlic, chili, ginger, carrot, rice",Italian,Non-Vegetarian
Lasagna,"potato, lime, onion, soy sauce",Italian,Vegetarian
Risotto,"yogurt, coconut, onion, tomato",French,Non-Vegetarian
Fettuccine Alfredo,"noodles, soy sauce, beef, garlic, pork",Japanese,Non-Vegetarian
Bruschetta,"spinach, coconut, noodles, chicken, chili",Greek,Vegan
Tiramisu,"pepper, soy sauce, ginger, mint, garlic, coconut",Japanese,Vegetarian
Gnocchi,"yogurt, pork, potato, spinach, soy sauce, cheese",Indian,Vegan
Caprese Salad,"chili, potato, garlic, beef, coconut",Thai,Vegetarian
Panna Cotta,"noodles, coconut, mint, spinach, pepper, beef, pork",Mexican,Vegetarian
Dish_201,"beef, onion, cheese, noodles, pepper",Indian,Non-Vegetarian
Dish_202,"beans, mint, ginger, cheese, rice, spinach, lentils",Thai,Vegetarian
Dish_203,"noodles, carrot, pork, rice, basil, lentils",Mexican,Vegan
Dish_204,"lime, chili, potato, noodles",Greek,Non-Vegetarian
Dish_205,"pork, tofu, basil, rice, potato, chicken",Japanese,Vegetarian
Dish_206,"ginger, chicken, mint, lentils",Japanese,Vegetarian
Dish_207,"yogurt, chicken, beans, garlic, onion",Indian,Non-Vegetarian
Dish_208,"beef, ginger, pepper, soy sauce",Thai,Vegetarian
Dish_209,"mint, rice, tofu, tomato, beans, pork",Greek,Vegetarian
Dish_210,"spinach, chicken, carrot, chili",Indian,Non-Vegetarian
Dish_211,"beans, lime, pork, garlic, rice, basil",Greek,Vegan
Dish_212,"rice, cheese, mint, tomato, beef",Japanese,Vegan
Dish_213,"carrot, lime, pepper, onion, lentils, potato",Indian,Vegan
Dish_214,"lentils, yogurt, noodles, ginger",French,Vegan
Dish_215,"rice, garlic, chicken, spinach, noodles, carrot, lime",French,Vegetarian
Dish_216,"ginger, pepper, beef, beans, yogurt, chili, potato",Japanese,Vegetarian
Dish_217,"pepper, potato, beans, soy sauce",French,Vegan
Dish_218,"rice, yogurt, coconut, onion",Indian,Non-Vegetarian
Dish_219,"onion, pepper, chili, yogurt",Chinese,Vegan
Dish_220,"lime, spinach, mint, chicken, noodles, pork, cheese",Japanese,Vegetarian
Dish_221,"chicken, mint, lime, noodles, rice",Italian,Vegan
Dish_222,"tomato, noodles, onion, lentils, chili, potato, rice",Greek,Non-Vegetarian
Dish_223,"tofu, rice, lime, beans, garlic, soy sauce",Indian,Vegetarian
Dish_224,"lentils, coconut, soy sauce, chicken, lime, ginger, garlic",French,Vegan
Dish_225,"coconut, pork, lime, noodles, basil",French,Vegetarian
Dish_226,"ginger, basil, carrot, potato, tofu, rice, noodles",Greek,Vegan
Dish_227,"beef, lime, basil, potato, chili, chicken, pepper",French,Non-Vegetarian
Dish_228,"tomato, beef, lime, pepper, soy sauce, chili, cheese",Italian,Vegetarian
Dish_229,"ginger, tofu, tomato, garlic, pork, chicken",French,Vegan
Dish_230,"lentils, lime, beans, cheese, spinach, potato",Thai,Non-Vegetarian
Dish_231,"chili, pepper, carrot, yogurt",Italian,Non-Vegetarian
Dish_232,"chicken, pepper, rice, soy sauce, onion, beans, basil",French,Vegan
Dish_233,"coconut, basil, rice, chicken, beef, yogurt, lime",Indian,Vegan
Dish_234,"coconut, potato, cheese, chicken, mint, basil, yogurt",Chinese,Vegetarian
Dish_235,"carrot, basil, lime, pork, spinach",Greek,Vegetarian
Dish_236,"tofu, carrot, lentils, tomato, onion, lime, coconut",Japanese,Non-Vegetarian
Dish_237,"garlic, lime, spinach, rice",Italian,Vegetarian
Dish_238,"yogurt, pork, tomato, potato",French,Non-Vegetarian
Dish_239,"cheese, lime, noodles, potato, mint",Italian,Vegan
Dish_240,"beef, rice, onion, pepper",Chinese,Vegetarian
Dish_241,"potato, chili, cheese, onion, pork",Mexican,Vegan
Dish_242,"beef, mint, rice, tomato, basil",Greek,Vegetarian
Dish_243,"tofu, ginger, carrot, beef",Chinese,Vegetarian
Dish_244,"pepper, beans, chili, lime",Japanese,Non-Vegetarian
Dish_245,"noodles, basil, carrot, pork, lime",French,Vegetarian
Dish_246,"basil, noodles, spinach, carrot, beef, lentils, lime",French,Vegetarian
Dish_247,"pepper, yogurt, mint, beans, pork, garlic, lentils",Indian,Vegan
Dish_248,"mint, pepper, pork, beans, onion",French,Non-Vegetarian
Dish_249,"rice, ginger, beans, tomato, garlic, tofu, mint",Thai,Vegetarian
Dish_250,"yogurt, onion, garlic, noodles, spinach, cheese, ginger",Italian,Vegetarian
Dish_251,"lentils, yogurt, basil, chili, pork",Italian,Vegan
Dish_252,"chili, spinach, beans, soy sauce",Japanese,Non-Vegetarian
Dish_253,"rice, potato, mint, pepper, lime, carrot",Mexican,Vegan
Dish_254,"coconut, rice, garlic, lentils, lime",Italian,Vegan
Dish_255,"coconut, chicken, carrot, lentils, noodles, onion",Chinese,Vegetarian
Dish_256,"spinach, chicken, pork, lentils, cheese, noodles",French,Vegetarian
Dish_257,"lime, rice, chili, yogurt, chicken, basil, ginger",Italian,Non-Vegetarian
Dish_258,"yogurt, chili, noodles, pork, lentils",Chinese,Vegan
Dish_259,"chili, cheese, tomato, coconut, mint, spinach",French,Vegetarian
Dish_260,"mint, rice, tofu, ginger, pepper, cheese, chili",Greek,Non-Vegetarian
Dish_261,"chicken, beef, garlic, rice, soy sauce, yogurt",Italian,Vegetarian
Dish_262,"spinach, ginger, coconut, beans, lime, tofu",Italian,Vegan
Dish_263,"spinach, onion, lime, chili",Mexican,Vegan
Dish_264,"mint, spinach, ginger, noodles, yogurt",Greek,Non-Vegetarian
Dish_265,"rice, ginger, chicken, cheese, onion",French,Vegan
Dish_266,"beans, garlic, chili, soy sauce, basil, beef, ginger",Thai,Vegetarian
Dish_267,"pork, beans, coconut, spinach, carrot",Indian,Non-Vegetarian
Dish_268,"mint, rice, pork, garlic",Thai,Vegetarian
Dish_269,"potato, lime, ginger, lentils",Italian,Vegan
Dish_270,"tofu, noodles, basil, soy sauce",Greek,Vegan
Dish_271,"soy sauce, carrot, pepper, beans, tomato, rice",Italian,Vegetarian
Dish_272,"chicken, noodles, tomato, mint, garlic",Indian,Vegan
Dish_273,"mint, rice, chicken, basil, carrot",Thai,Non-Vegetarian
Dish_274,"lentils, pork, tomato, cheese, beef, mint",Mexican,Vegan
Dish_275,"spinach, cheese, ginger, chili, pork, tomato",Thai,Non-Vegetarian
Dish_276,"lentils, soy sauce, rice, cheese, noodles",Japanese,Vegetarian
Dish_277,"cheese, onion, lentils, carrot, coconut, yogurt",Mexican,Vegan
Dish_278,"carrot, rice, chicken, noodles, pepper",Greek,Vegetarian
Dish_279,"basil, spinach, tofu, rice",Italian,Vegan
Dish_280,"lentils, pork, chicken, garlic, mint, yogurt",Thai,Vegan
Dish_281,"potato, tofu, chili, chicken, soy sauce",Indian,Vegetarian
Dish_282,"potato, onion, cheese, beef, spinach, mint, rice",Thai,Vegan
Dish_283,"soy sauce, lime, pork, noodles, tofu, beef",French,Vegetarian
Dish_284,"basil, onion, chili, tomato, cheese",Mexican,Vegetarian
Dish_285,"pepper, beans, tofu, lime, beef, basil",Indian,Vegetarian
Dish_286,"cheese, onion, mint, soy sauce, lentils, potato, spinach",Mexican,Vegan
Dish_287,"mint, lentils, carrot, chili",Mexican,Vegetarian
Dish_288,"rice, lime, chili, spinach, beans, lentils",French,Vegan
Dish_289,"lime, carrot, lentils, pepper, potato, tomato, cheese",Chinese,Vegan
Dish_290,"yogurt, basil, chili, lime, soy sauce",Italian,Non-Vegetarian
Dish_291,"rice, carrot, coconut, lime, garlic, tofu, potato",Greek,Vegetarian
Dish_292,"tomato, spinach, beef, chili",Indian,Non-Vegetarian
Dish_293,"chili, carrot, tofu, lentils, yogurt, noodles, beef",Japanese,Non-Vegetarian
Dish_294,"soy sauce, garlic, beans, mint",Italian,Vegan
Dish_295,"beans, pepper, lentils, onion, yogurt, potato",Thai,Non-Vegetarian
Dish_296,"lentils, potato, onion, garlic, ginger, basil, pepper",Greek,Vegan
Dish_297,"tofu, pepper, lentils, ginger, chicken, coconut",Chinese,Vegan
Dish_298,"lentils, chili, mint, pepper",French,Vegan
Dish_299,"yogurt, pork, chicken, garlic",Mexican,Vegan
Dish_300,"coconut, cheese, tofu, basil, rice",French,Non-Vegetarian
Dish_301,"onion, coconut, tomato, lentils, pepper, lime, beans",Japanese,Vegetarian
Dish_302,"rice, chili, carrot, lentils, basil, chicken",Italian,Vegan
Dish_303,"onion, spinach, soy sauce, beans",French,Non-Vegetarian
Dish_304,"lentils, tomato, basil, pepper, potato, noodles, mint",Mexican,Non-Vegetarian
Dish_305,"garlic, noodles, yogurt, spinach",Japanese,Non-Vegetarian
Dish_306,"rice, potato, lime, chicken, carrot",Chinese,Vegetarian
Dish_307,"garlic, tofu, chili, carrot, noodles, tomato, onion",Greek,Vegan
Dish_308,"coconut, beans, rice, onion, carrot, basil",Japanese,Non-Vegetarian
Dish_309,"chicken, lime, soy sauce, chili, onion, mint",Indian,Vegetarian
Dish_310,"soy sauce, lime, chicken, yogurt",Chinese,Vegetarian
Dish_311,"spinach, rice, soy sauce, beans, tomato",Greek,Vegan
Dish_312,"carrot, onion, potato, pork",Japanese,Vegetarian
Dish_313,"coconut, carrot, pepper, tomato",Greek,Non-Vegetarian
Dish_314,"pork, lentils, chicken, beans, basil",Japanese,Vegetarian
Dish_315,"lime, ginger, tofu, onion",Japanese,Vegan
Dish_316,"beef, lentils, lime, chili, tomato, noodles, beans",Mexican,Vegan
Dish_317,"spinach, cheese, pork, onion, pepper, potato, chili",Japanese,Non-Vegetarian
Dish_318,"carrot, tomato, noodles, rice, beef, soy sauce, chili",Italian,Vegan
Dish_319,"carrot, basil, pepper, garlic, cheese, ginger, beef",French,Non-Vegetarian
Dish_320,"chili, rice, soy sauce, pork, coconut, chicken, carrot",Greek,Vegetarian
Dish_321,"potato, noodles, lentils, beans, spinach, chicken",Thai,Vegetarian
Dish_322,"tofu, lentils, carrot, potato, basil",Japanese,Vegan
Dish_323,"mint, ginger, basil, garlic, lime, rice, noodles",Indian,Non-Vegetarian
Dish_324,"basil, noodles, beans, beef, garlic, chili",Italian,Non-Vegetarian
Dish_325,"rice, basil, tomato, potato, beef, soy sauce, carrot",Italian,Non-Vegetarian
Dish_326,"spinach, cheese, lime, beans, pork, soy sauce, pepper",Greek,Non-Vegetarian
Dish_327,"lime, tofu, potato, spinach, yogurt, ginger",Chinese,Vegan
Dish_328,"carrot, pepper, spinach, ginger, soy sauce",French,Vegetarian
Dish_329,"garlic, noodles, coconut, tofu, lime, onion",Greek,Vegetarian
Dish_330,"coconut, lentils, noodles, tomato",Indian,Vegan
