name,ingredients,cuisine,diet
Dish_331,"beans, cheese, noodles, lentils, chili, basil, ginger",Italian,Vegetarian
Dish_332,"tomato, chili, tofu, lentils, lime, potato",Chinese,Non-Vegetarian
Dish_333,"ginger, tofu, noodles, onion, carrot, cheese",Greek,Vegetarian
Dish_334,"lentils, mint, tofu, rice, yogurt, ginger",Japanese,Vegan
Dish_335,"ginger, onion, rice, tomato, garlic",Italian,Vegetarian
Dish_336,"pepper, tomato, rice, potato, onion, beans",Italian,Vegetarian
Dish_337,"noodles, soy sauce, garlic, chili, beef, basil",Greek,Non-Vegetarian
Dish_338,"garlic, lentils, noodles, chili",Greek,Vegan
Dish_339,"mint, pork, spinach, yogurt, garlic",Indian,Vegan
Dish_340,"pork, garlic, noodles, carrot",Thai,Vegan
Dish_341,"spinach, tomato, basil, carrot, lentils, ginger, soy sauce",Indian,Vegetarian
Dish_342,"ginger, lime, cheese, pepper",Greek,Vegetarian
Dish_343,"rice, potato, pepper, tofu",Greek,Non-Vegetarian
Dish_344,"tofu, coconut, soy sauce, pepper, tomato, spinach, noodles",French,Vegetarian
Dish_345,"mint, potato, beef, basil, yogurt, chicken, ginger",Italian,Vegetarian
Dish_346,"soy sauce, onion, tomato, beans",Indian,Vegan
Dish_347,"beans, spinach, beef, ginger, potato, coconut, garlic",French,Vegan
Dish_348,"yogurt, lentils, lime, chili, carrot, beef",French,Non-Vegetarian
Dish_349,"tofu, yogurt, beans, lentils",Japanese,Vegan
Dish_350,"pepper, potato, rice, beef, carrot, soy sauce",Chinese,Vegetarian
Dish_351,"lime, lentils, tofu, spinach, soy sauce, chicken, cheese",Mexican,Vegan
Dish_352,"ginger, onion, rice, carrot, tomato, chicken, lentils",Italian,Vegan
Dish_353,"lime, tomato, mint, soy sauce, noodles",Italian,Vegan
Dish_354,"coconut, beans, lentils, pepper, chicken, mint, chili",French,Vegetarian
Dish_355,"soy sauce, tomato, potato, beef",Mexican,Vegan
Dish_356,"lentils, pork, noodles, beans, yogurt, chicken",Chinese,Vegan
Dish_357,"yogurt, mint, lime, ginger",Indian,Vegetarian
Dish_358,"basil, pork, spinach, garlic, mint",Greek,Non-Vegetarian
Dish_359,"onion, carrot, beef, pork, potato, lentils",Chinese,Non-Vegetarian
Dish_360,"garlic, yogurt, ginger, beef",French,Vegetarian
Dish_361,"cheese, ginger, carrot, chicken, basil, soy sauce, pork",Greek,Non-Vegetarian
Dish_362,"spinach, lentils, onion, chicken, ginger, coconut, tofu",Mexican,Non-Vegetarian
Dish_363,"lime, coconut, mint, chicken, potato, beans, cheese",Italian,Vegan
Dish_364,"cheese, lentils, tofu, beef, chicken, spinach",Chinese,Non-Vegetarian
Dish_365,"yogurt, soy sauce, basil, coconut, beans, pork",Japanese,Vegan
Dish_366,"onion, spinach, beans, carrot, beef, chicken",Chinese,Vegan
Dish_367,"ginger, coconut, beef, carrot, spinach, onion",Japanese,Vegetarian
Dish_368,"pork, mint, pepper, beef, lentils, yogurt",Chinese,Vegan
Dish_369,"lime, ginger, pork, mint, chili",Thai,Non-Vegetarian
Dish_370,"rice, cheese, beef, ginger, basil, garlic, yogurt",Indian,Vegetarian
Dish_371,"potato, soy sauce, lentils, yogurt, onion, lime, tofu",Chinese,Vegetarian
Dish_372,"beans, carrot, mint, noodles, rice, onion",Indian,Non-Vegetarian
Dish_373,"onion, chili, lentils, spinach, soy sauce",Chinese,Non-Vegetarian
Dish_374,"spinach, lentils, cheese, yogurt, tomato, rice",French,Vegan
Dish_375,"noodles, potato, garlic, chicken, pepper",Greek,Vegan
Dish_376,"tofu, tomato, noodles, chicken",French,Vegetarian
Dish_377,"noodles, cheese, lime, pork, lentils, soy sauce, carrot",Chinese,Non-Vegetarian
Dish_378,"coconut, pork, beef, tofu",French,Vegetarian
Dish_379,"potato, carrot, spinach, onion, beans, chili, garlic",Indian,Vegan
Dish_380,"coconut, garlic, soy sauce, pepper, lime, mint, noodles",Indian,Non-Vegetarian
Dish_381,"lime, beans, cheese, chicken, pork, chili",Greek,Non-Vegetarian
Dish_382,"spinach, cheese, coconut, basil, yogurt, lime",Japanese,Vegetarian
Dish_383,"tofu, coconut, rice, noodles",Indian,Vegetarian
Dish_384,"beans, yogurt, lime, pork",Chinese,Non-Vegetarian
Dish_385,"chili, rice, beef, carrot, coconut, beans, pork",Mexican,Vegetarian
Dish_386,"pork, mint, yogurt, carrot, lime, tomato",Greek,Non-Vegetarian
Dish_387,"cheese, spinach, carrot, potato, beef",Japanese,Non-Vegetarian
Dish_388,"lentils, noodles, ginger, coconut",Italian,Non-Vegetarian
Dish_389,"carrot, chili, coconut, beans",Japanese,Vegetarian
Dish_390,"yogurt, chicken, mint, tofu, onion",Greek,Vegan
Dish_391,"tomato, lentils, potato, spinach, coconut, onion",French,Non-Vegetarian
Dish_392,"beans, tomato, pork, pepper",Chinese,Vegetarian
Dish_393,"beans, chicken, noodles, potato, pepper",Chinese,Vegetarian
Dish_394,"lime, yogurt, chili, tomato, mint, coconut, chicken",French,Vegan
Dish_395,"lentils, beans, chili, soy sauce, tofu, carrot, onion",Greek,Vegetarian
Dish_396,"cheese, mint, potato, spinach",Mexican,Non-Vegetarian
Dish_397,"soy sauce, spinach, beans, lentils",Italian,Vegan
Dish_398,"rice, basil, garlic, pepper",Italian,Non-Vegetarian
Dish_399,"beef, tofu, onion, carrot, noodles, coconut",Greek,Non-Vegetarian
Dish_400,"spinach, ginger, carrot, tomato, garlic, noodles, tofu",Mexican,Vegetarian
Dish_401,"spinach, onion, noodles, pepper, beef, garlic, soy sauce",Chinese,Vegan
Dish_402,"tomato, potato, rice, yogurt, chili, cheese, lime",Mexican,Vegan
Dish_403,"noodles, rice, chicken, ginger, coconut, pork",Mexican,Vegetarian
Dish_404,"potato, ginger, yogurt, pork, rice, garlic",Greek,Vegan
Dish_405,"pork, tomato, potato, pepper, onion, mint",Japanese,Vegetarian
Dish_406,"ginger, mint, noodles, tomato",Italian,Vegan
Dish_407,"rice, tomato, pork, soy sauce",Mexican,Vegetarian
Dish_408,"chili, beans, lentils, rice, spinach",Indian,Vegetarian
Dish_409,"cheese, rice, tofu, coconut, lime, chili",Indian,Non-Vegetarian
Dish_410,"potato, spinach, beef, basil, chicken",Greek,Non-Vegetarian
Dish_411,"coconut, spinach, lime, basil, soy sauce",French,Vegetarian
Dish_412,"yogurt, chili, coconut, pepper",Italian,Vegan
Dish_413,"lime, tofu, cheese, carrot, lentils, chicken",Greek,Vegetarian
Dish_414,"basil, mint, chili, beans, soy sauce",Chinese,Vegetarian
Dish_415,"carrot, mint, cheese, spinach, lime",Thai,Vegan
Dish_416,"mint, rice, pork, ginger, soy sauce, onion, potato",Mexican,Non-Vegetarian
Dish_417,"ginger, coconut, noodles, chili, tofu, onion",Italian,Vegetarian
Dish_418,"potato, carrot, beef, lime, pork, chili",Indian,Vegetarian
Dish_419,"chicken, beans, lentils, rice, spinach",Indian,Vegetarian
Dish_420,"carrot, mint, rice, coconut, tomato, lentils, ginger",French,Vegan
Dish_421,"pepper, onion, carrot, beans",Chinese,Vegetarian
Dish_422,"rice, pepper, cheese, ginger",Japanese,Vegetarian
Dish_423,"soy sauce, spinach, basil, yogurt, pork, beans, beef",Mexican,Vegan
Dish_424,"garlic, pepper, chicken, cheese, ginger, basil, lentils",French,Vegetarian
Dish_425,"noodles, beef, soy sauce, mint, onion, spinach",Chinese,Non-Vegetarian
Dish_426,"noodles, tomato, soy sauce, garlic, chili, basil",Italian,Vegetarian
Dish_427,"lentils, yogurt, tofu, basil, lime, coconut, noodles",Greek,Vegan
Dish_428,"yogurt, onion, beef, lentils, pork, beans",Mexican,Vegetarian
Dish_429,"ginger, soy sauce, coconut, chicken, garlic, tofu",Thai,Vegan
Dish_430,"carrot, mint, pork, potato, lime, chili, beans",Thai,Vegetarian
Dish_431,"pork, cheese, onion, potato, garlic, chili, ginger",Italian,Vegan
Dish_432,"spinach, yogurt, coconut, chicken, basil, ginger, lime",Japanese,Vegetarian
Dish_433,"lentils, lime, tomato, ginger",Mexican,Vegan
Dish_434,"onion, coconut, noodles, spinach, cheese",Italian,Vegetarian
Dish_435,"beans, coconut, mint, basil, pepper, tomato",Indian,Vegan
Dish_436,"yogurt, coconut, beans, lime, noodles",Mexican,Non-Vegetarian
Dish_437,"beans, chicken, tofu, lime, carrot",French,Vegan
Dish_438,"lentils, basil, rice, garlic, pork",Italian,Vegan
Dish_439,"tofu, cheese, noodles, lentils",Japanese,Vegan
Dish_440,"chili, beef, mint, potato, lentils",French,Vegetarian
Dish_441,"ginger, coconut, chili, pepper, tomato, yogurt",Chinese,Vegetarian
Dish_442,"pork, spinach, yogurt, chicken",Italian,Non-Vegetarian
Dish_443,"tomato, coconut, ginger, chicken, potato, beef, cheese",Thai,Vegan
Dish_444,"beef, ginger, lentils, coconut, pork, carrot, noodles",Italian,Vegan
Dish_445,"pepper, beef, tomato, ginger, cheese",Greek,Vegetarian
Dish_446,"pork, beef, noodles, rice, yogurt, tofu",Thai,Vegan
Dish_447,"yogurt, lentils, carrot, pork",Indian,Non-Vegetarian
Dish_448,"chili, mint, tomato, carrot, noodles",Italian,Vegetarian
Dish_449,"soy sauce, pork, cheese, tomato, mint",Japanese,Vegan
Dish_450,"garlic, chili, soy sauce, rice",Greek,Non-Vegetarian
Dish_451,"beans, rice, basil, lentils, ginger, mint, onion",Italian,Vegetarian
Dish_452,"chicken, soy sauce, beans, pepper, potato, mint, carrot",Mexican,Vegetarian
Dish_453,"ginger, basil, soy sauce, chili, beans, tofu, onion",Mexican,Vegan
Dish_454,"chili, basil, ginger, potato, tofu, carrot",Thai,Vegetarian
Dish_455,"pepper, lentils, potato, soy sauce, beans, tofu",Mexican,Non-Vegetarian
Dish_456,"noodles, rice, chicken, tofu, potato, carrot",Italian,Vegetarian
Dish_457,"tofu, noodles, garlic, lentils, mint, chicken",Mexican,Non-Vegetarian
Dish_458,"mint, tofu, cheese, ginger, chicken, lentils, tomato",Greek,Vegetarian
Dish_459,"carrot, basil, chili, pepper",Indian,Non-Vegetarian
Dish_460,"chicken, lentils, tomato, soy sauce, chili",Indian,Vegetarian
Dish_461,"tofu, carrot, rice, chili, mint, cheese, potato",Italian,Non-Vegetarian
Dish_462,"ginger, rice, chicken, basil",French,Vegan
Dish_463,"soy sauce, pepper, lentils, coconut, onion, chili, yogurt",Italian,Non-Vegetarian
Dish_464,"yogurt, spinach, soy sauce, coconut",Japanese,Non-Vegetarian
Dish_465,"coconut, carrot, pork, beans, noodles, rice, cheese",Japanese,Vegan
Dish_466,"basil, chili, onion, yogurt",French,Vegetarian
Dish_467,"coconut, yogurt, pepper, cheese, lime",Japanese,Non-Vegetarian
Dish_468,"beans, yogurt, mint, noodles",Chinese,Vegetarian
Dish_469,"onion, ginger, potato, soy sauce, lime",Thai,Vegetarian
Dish_470,"potato, spinach, beans, carrot, cheese, noodles, chicken",Greek,Vegetarian
Dish_471,"ginger, coconut, spinach, tofu, basil",Indian,Vegetarian
Dish_472,"onion, pork, tomato, beans, garlic",Greek,Non-Vegetarian
Dish_473,"yogurt, pork, chicken, pepper, carrot",French,Vegan
Dish_474,"cheese, carrot, basil, noodles",Thai,Vegan
Dish_475,"potato, chicken, tofu, pepper",Indian,Vegan
Dish_476,"lentils, cheese, yogurt, chili, carrot, mint",Mexican,Non-Vegetarian
Dish_477,"carrot, lime, tomato, basil, chicken, coconut, lentils",Indian,Vegan
Dish_478,"onion, ginger, noodles, pepper, coconut, pork",Japanese,Vegan
Dish_479,"chili, lime, cheese, beef, carrot, tomato",Indian,Non-Vegetarian
Dish_480,"pork, mint, chili, noodles, garlic, onion",Mexican,Non-Vegetarian
Dish_481,"tomato, chicken, spinach, ginger",Thai,Vegetarian
Dish_482,"coconut, noodles, beans, lime",French,Non-Vegetarian
Dish_483,"ginger, soy sauce, cheese, chicken",Greek,Non-Vegetarian
Dish_484,"noodles, lentils, beans, onion, lime, mint, chicken",Mexican,Vegetarian
Dish_485,"beef, noodles, onion, mint",Indian,Vegan
Dish_486,"chicken, mint, yogurt, rice, onion, spinach",Indian,Vegan
Dish_487,"chili, rice, tomato, pork, mint",Greek,Non-Vegetarian
Dish_488,"lime, pork, tofu, lentils, ginger",Greek,Non-Vegetarian
Dish_489,"chicken, garlic, basil, ginger, yogurt, spinach, beans",Greek,Vegan
Dish_490,"spinach, yogurt, soy sauce, carrot, lime",Italian,Non-Vegetarian
Dish_491,"carrot, mint, basil, coconut, cheese",Thai,Non-Vegetarian
Dish_492,"pork, beans, onion, lime, carrot, ginger, cheese",Mexican,Vegan
Dish_493,"spinach, pepper, ginger, onion, tomato, cheese",Italian,Non-Vegetarian
Dish_494,"tofu, tomato, chicken, pepper, noodles, mint, beans",French,Vegetarian
Dish_495,"chicken, garlic, basil, rice, beans",Greek,Non-Vegetarian
Dish_496,"pork, onion, coconut, beef, tomato, chili",Japanese,Vegan
Dish_497,"noodles, coconut, soy sauce, chicken, spinach",Italian,Vegetarian
Dish_498,"ginger, basil, spinach, lime, tofu, pork, coconut",French,Vegan
Dish_499,"tofu, potato, coconut, pepper, noodles, yogurt",Chinese,Non-Vegetarian
Dish_500,"soy sauce, tomato, chili, beef, rice, yogurt, tofu",Chinese,Vegetarian
Dish_501,"soy sauce, pepper, chili, cheese, spinach",Indian,Vegan
Dish_502,"ginger, noodles, soy sauce, beans, beef, carrot, lentils",Indian,Vegetarian
Dish_503,"carrot, beef, chili, pepper, ginger, tomato, rice",Chinese,Non-Vegetarian
Dish_504,"lentils, cheese, tomato, lime, onion, yogurt",Thai,Vegetarian
Dish_505,"soy sauce, lime, ginger, yogurt, noodles, potato, carrot",Greek,Vegetarian
Dish_506,"tomato, noodles, spinach, chicken, onion",Italian,Non-Vegetarian
Dish_507,"lentils, cheese, onion, beans, pork, spinach",Indian,Non-Vegetarian
Dish_508,"cheese, mint, noodles, tofu, chili, ginger",French,Vegetarian
Dish_509,"lentils, mint, lime, pepper, beans",Thai,Vegan
Dish_510,"spinach, carrot, lentils, coconut, beef",Greek,Vegetarian
Dish_511,"soy sauce, chicken, beef, pepper, basil, pork",Greek,Vegan
Dish_512,"soy sauce, carrot, beef, mint",Chinese,Non-Vegetarian
Dish_513,"soy sauce, tofu, beef, garlic, yogurt",Italian,Non-Vegetarian
Dish_514,"cheese, coconut, rice, lentils",Japanese,Vegan
Dish_515,"chicken, soy sauce, coconut, tofu, basil",Japanese,Vegan
Dish_516,"tomato, spinach, mint, carrot",Italian,Non-Vegetarian
Dish_517,"spinach, coconut, pork, tofu, lime, carrot",Indian,Vegan
Dish_518,"onion, basil, chili, garlic, potato",Mexican,Vegetarian
Dish_519,"chicken, basil, carrot, lime, onion, soy sauce",Mexican,Vegan
Dish_520,"beans, tofu, rice, noodles, soy sauce",Italian,Vegan
Dish_521,"spinach, ginger, tomato, potato",Chinese,Vegetarian
Dish_522,"garlic, mint, beans, lime, tomato, noodles",Thai,Vegetarian
Dish_523,"garlic, potato, lime, basil, coconut, pork, chili",French,Vegan
Dish_524,"cheese, onion, beans, spinach",Mexican,Vegan
Dish_525,"cheese, chicken, potato, yogurt, garlic, lentils",Mexican,Vegetarian
Dish_526,"chili, soy sauce, garlic, cheese, ginger",French,Vegetarian
Dish_527,"beef, chili, pork, lentils, yogurt, noodles, ginger",Japanese,Vegan
Dish_528,"spinach, lentils, pepper, cheese, chili",Thai,Vegetarian
Dish_529,"ginger, lentils, chili, basil, soy sauce",Indian,Vegan
Dish_530,"ginger, rice, coconut, chicken, onion, tofu",Italian,Vegan
Dish_531,"noodles, yogurt, chili, ginger",Greek,Vegetarian
Dish_532,"spinach, rice, tomato, coconut, lentils, cheese",Thai,Non-Vegetarian
Dish_533,"rice, coconut, beef, pepper, beans, carrot",Greek,Non-Vegetarian
Dish_534,"noodles, pepper, tofu, beef, cheese, coconut, ginger",Thai,Vegetarian
Dish_535,"tomato, mint, lime, lentils, noodles",Mexican,Vegetarian
Dish_536,"beef, lime, yogurt, garlic, mint, chicken, noodles",Italian,Vegetarian
Dish_537,"mint, garlic, beans, pork, tofu, yogurt, soy sauce",French,Vegan
Dish_538,"chicken, tomato, garlic, yogurt, rice, noodles, beef",Greek,Vegetarian
Dish_539,"mint, basil, ginger, pork, chicken, carrot, coconut",Greek,Vegetarian
Dish_540,"ginger, soy sauce, potato, beef, rice",Italian,Vegan
Dish_541,"potato, tomato, yogurt, basil, coconut, chicken, mint",French,Vegetarian
Dish_542,"mint, onion, chicken, tomato",French,Vegetarian
Dish_543,"lime, mint, noodles, beef, pepper",Mexican,Vegetarian
Dish_544,"pepper, basil, yogurt, tomato, chicken, pork, beans",Mexican,Vegetarian
Dish_545,"yogurt, soy sauce, coconut, ginger, potato, chicken",Chinese,Vegan
Dish_546,"beef, onion, coconut, lentils",Greek,Non-Vegetarian
Dish_547,"ginger, pepper, lime, rice, coconut, beans",Indian,Non-Vegetarian
Dish_548,"noodles, coconut, pepper, tofu, mint, lime",Indian,Vegetarian
Dish_549,"pepper, chicken, yogurt, pork, lentils, lime",Thai,Vegan
Dish_550,"tomato, yogurt, ginger, beef, soy sauce",Greek,Vegetarian
Dish_551,"beans, ginger, tofu, garlic",Mexican,Non-Vegetarian
Dish_552,"beans, mint, cheese, tomato",Thai,Vegan
Dish_553,"onion, chicken, coconut, beef, mint",French,Non-Vegetarian
Dish_554,"mint, spinach, cheese, yogurt, tofu, tomato, chili",Japanese,Vegetarian
Dish_555,"potato, carrot, coconut, yogurt, lime, cheese",Thai,Vegan
Dish_556,"pepper, lentils, soy sauce, chili, mint",Indian,Non-Vegetarian
Dish_557,"pepper, lime, beans, rice, ginger",Greek,Vegetarian
Dish_558,"noodles, chicken, ginger, pepper, chili, carrot, yogurt",Chinese,Vegan
Dish_559,"mint, beans, garlic, onion, tomato, coconut",Japanese,Non-Vegetarian
Dish_560,"potato, yogurt, chili, spinach, mint",French,Vegetarian
Dish_561,"spinach, lime, rice, basil, soy sauce, ginger, yogurt",Thai,Vegetarian
Dish_562,"spinach, tofu, beef, cheese, basil, rice, carrot",Thai,Non-Vegetarian
Dish_563,"chili, tofu, lentils, pork, carrot",Indian,Vegetarian
Dish_564,"pork, tofu, basil, beef, beans, potato, chicken",Japanese,Non-Vegetarian
Dish_565,"yogurt, chicken, basil, lentils, onion",Italian,Non-Vegetarian
Dish_566,"cheese, ginger, carrot, tofu, garlic",Mexican,Vegetarian
Dish_567,"lime, spinach, beef, lentils, potato",Greek,Non-Vegetarian
Dish_568,"potato, spinach, soy sauce, chicken, tomato, pork, beef",Japanese,Vegetarian
Dish_569,"garlic, noodles, tomato, pepper, mint, tofu, carrot",Indian,Non-Vegetarian
Dish_570,"pepper, lentils, noodles, garlic, carrot",Chinese,Vegetarian
Dish_571,"rice, beef, pork, chicken, garlic, tomato, ginger",Mexican,Vegan
Dish_572,"beef, lentils, potato, lime",Japanese,Vegan
Dish_573,"beef, carrot, lentils, noodles",Indian,Non-Vegetarian
Dish_574,"potato, basil, rice, beans, carrot",Chinese,Vegetarian
Dish_575,"beans, coconut, mint, chicken, potato, ginger",Italian,Vegan
Dish_576,"tofu, soy sauce, chicken, spinach, carrot",Italian,Non-Vegetarian
Dish_577,"garlic, chicken, onion, tomato, spinach, chili, basil",Italian,Vegetarian
Dish_578,"basil, tofu, carrot, cheese, yogurt, potato",Mexican,Vegetarian
Dish_579,"noodles, rice, beef, spinach, lentils, soy sauce, pepper",French,Vegan
Dish_580,"coconut, garlic, chili, yogurt, tomato, spinach",Greek,Vegan
Dish_581,"spinach, tomato, pepper, lentils, rice, soy sauce, chicken",French,Vegetarian
Dish_582,"ginger, tofu, pork, beef",Thai,Vegetarian
Dish_583,"potato, rice, tomato, ginger, pepper, onion, tofu",French,Vegetarian
Dish_584,"beef, beans, rice, pepper, lentils, yogurt, potato",Mexican,Non-Vegetarian
Dish_585,"rice, cheese, carrot, coconut, noodles, soy sauce, beef",Greek,Vegetarian
Dish_586,"chili, carrot, noodles, pork, beef, yogurt",Japanese,Non-Vegetarian
Dish_587,"rice, soy sauce, pork, lentils, noodles",Chinese,Vegan
Dish_588,"ginger, pepper, lime, tomato, noodles, chili, beef",Italian,Vegan
Dish_589,"noodles, onion, soy sauce, lentils",French,Vegetarian
Dish_590,"mint, beef, noodles, pepper, basil, coconut, lentils",Mexican,Non-Vegetarian
Dish_591,"soy sauce, pepper, chicken, coconut, tofu",Thai,Non-Vegetarian
Dish_592,"ginger, lentils, cheese, lime, pork, mint, coconut",Indian,Non-Vegetarian
Dish_593,"beans, beef, garlic, carrot, noodles",Japanese,Non-Vegetarian
Dish_594,"yogurt, lentils, noodles, beef, lime, onion, chili",Chinese,Vegan
Dish_595,"tomato, spinach, carrot, pork, noodles, chicken",Italian,Vegan
Dish_596,"lentils, garlic, noodles, onion",Mexican,Non-Vegetarian
Dish_597,"tofu, chicken, lentils, ginger",Mexican,Non-Vegetarian
Dish_598,"lentils, spinach, pork, coconut, soy sauce",French,Vegetarian
Dish_599,"basil, tomato, pepper, onion",Italian,Vegan
Dish_600,"chili, noodles, coconut, lentils, rice, potato, onion",Italian,Vegan
Dish_601,"beans, yogurt, onion, potato, lentils, basil",Chinese,Non-Vegetarian
Dish_602,"tomato, pork, beans, carrot, basil, tofu, chili",Italian,Vegan
Dish_603,"beef, pepper, rice, beans",Greek,Vegetarian
Dish_604,"pepper, pork, noodles, onion, potato, soy sauce, beans",Indian,Vegetarian
Dish_605,"spinach, tofu, yogurt, chicken, pork, beef, potato",French,Vegetarian
Dish_606,"pork, lentils, beef, beans",French,Non-Vegetarian
Dish_607,"carrot, ginger, spinach, soy sauce",Indian,Vegetarian
Dish_608,"garlic, lentils, pork, rice, chili",Chinese,Vegan
Dish_609,"soy sauce, spinach, lime, beef, noodles",Mexican,Vegan
Dish_610,"garlic, spinach, potato, chili, coconut, carrot",Greek,Non-Vegetarian
Dish_611,"cheese, carrot, beef, lime, potato",Greek,Vegan
Dish_612,"cheese, noodles, beans, potato, carrot",Mexican,Vegetarian
Dish_613,"onion, pork, yogurt, potato, mint, ginger",French,Vegetarian
Dish_614,"spinach, lentils, noodles, tomato, chili",Chinese,Vegan
Dish_615,"noodles, coconut, carrot, spinach, lentils, beef, basil",Mexican,Non-Vegetarian
Dish_616,"lentils, garlic, tofu, mint, soy sauce, beef, lime",Thai,Non-Vegetarian
Dish_617,"chili, garlic, chicken, basil, tomato, pepper, yogurt",French,Vegetarian
Dish_618,"yogurt, basil, onion, noodles",Greek,Vegan
Dish_619,"noodles, tomato, yogurt, pork, mint",Thai,Vegan
Dish_620,"lentils, pork, lime, pepper, cheese, spinach, chili",French,Vegetarian
Dish_621,"basil, onion, pork, potato, tofu, carrot",French,Non-Vegetarian
Dish_622,"mint, cheese, lime, beef",Japanese,Vegan
Dish_623,"tomato, yogurt, pepper, carrot, chicken, onion, rice",Greek,Vegan
Dish_624,"beef, basil, pepper, yogurt",Indian,Vegan
Dish_625,"mint, onion, spinach, cheese, carrot, tomato, lime",Japanese,Vegetarian
Dish_626,"ginger, coconut, mint, lime, cheese, beans",Greek,Vegetarian
Dish_627,"soy sauce, ginger, pepper, potato, rice, tomato, yogurt",Chinese,Non-Vegetarian
Dish_628,"garlic, chili, beef, potato, cheese",Indian,Vegan
Dish_629,"spinach, onion, garlic, lime, tofu, cheese",French,Vegetarian
Dish_630,"mint, ginger, beef, soy sauce, tomato",Greek,Vegan
Dish_631,"tomato, cheese, chili, potato",Indian,Non-Vegetarian
Dish_632,"lime, noodles, tomato, coconut",Mexican,Vegan
Dish_633,"garlic, ginger, rice, lime, coconut, spinach, cheese",Chinese,Vegetarian
Dish_634,"beans, potato, tofu, chili, chicken",Italian,Vegan
Dish_635,"chili, carrot, coconut, mint",Chinese,Vegetarian
Dish_636,"ginger, basil, tomato, pepper, beef, onion, garlic",Indian,Non-Vegetarian
Dish_637,"beans, pork, spinach, yogurt, noodles",Chinese,Vegan
Dish_638,"rice, ginger, garlic, tomato, soy sauce, beans, basil",Thai,Vegan
Dish_639,"mint, tofu, pork, potato",Thai,Non-Vegetarian
Dish_640,"mint, chicken, yogurt, cheese, noodles, chili",Mexican,Vegan
Dish_641,"tomato, soy sauce, beef, garlic, carrot, beans",French,Non-Vegetarian
Dish_642,"beans, potato, carrot, spinach, pepper",French,Non-Vegetarian
Dish_643,"cheese, coconut, chicken, rice, beef, beans, potato",Greek,Vegan
Dish_644,"noodles, pepper, cheese, soy sauce, garlic",Indian,Vegan
Dish_645,"noodles, pork, soy sauce, beef, lentils",Japanese,Vegetarian
Dish_646,"pepper, garlic, tofu, rice",Greek,Vegan
Dish_647,"carrot, chicken, pepper, lime, mint",Greek,Non-Vegetarian
Dish_648,"basil, tofu, potato, rice",Indian,Non-Vegetarian
Dish_649,"mint, tofu, lentils, beef, spinach, potato",Mexican,Vegetarian
Dish_650,"chili, carrot, yogurt, soy sauce, pork",Chinese,Vegetarian
Dish_651,"chicken, yogurt, rice, cheese, basil",Thai,Vegan
Dish_652,"cheese, garlic, pork, ginger, onion",Chinese,Non-Vegetarian
Dish_653,"chili, chicken, potato, yogurt, beef, soy sauce",Thai,Vegetarian
Dish_654,"soy sauce, carrot, onion, cheese",Mexican,Non-Vegetarian
Dish_655,"carrot, soy sauce, rice, pepper, spinach, chili",Japanese,Vegetarian
Dish_656,"soy sauce, noodles, coconut, potato, tofu, beans",Thai,Vegan
Dish_657,"noodles, beans, chili, tofu, garlic",Indian,Vegan
Dish_658,"soy sauce, lentils, tomato, beans, garlic, potato, pepper",Mexican,Non-Vegetarian
Dish_659,"rice, ginger, pepper, spinach",French,Non-Vegetarian
Dish_660,"beef, cheese, tofu, chicken, rice, pepper, chili",Indian,Vegan
Dish_661,"lime, tomato, cheese, lentils, spinach",Thai,Vegetarian
Dish_662,"rice, coconut, lentils, pork, ginger, yogurt, beef",Greek,Vegan
